,Status,Life expectancy,Adult Mortality,BMI,HIV/AIDS,Diphtheria,Polio,GDP,Income composition of resources,Schooling
585,Developing,73.1,147.0,51.3,0.1,93.0,94.0,379.78776,0.669,11.5
8,Developing,57.5,295.0,15.2,0.1,63.0,63.0,369.835796,0.415,8.4
1685,Developing,76.6,12.0,62.1,0.1,83.0,83.0,1298.86766,0.753,12.9
682,Developed,78.8,64.0,55.8,0.1,97.0,97.0,27169.99256,0.829,13.4
1851,Developed,85.0,73.0,64.3,0.1,92.0,92.0,282.94193,0.895,19.3
90,Developing,74.9,127.0,56.9,0.1,98.0,95.0,576.883829,0.78,16.3
1800,Developing,64.3,268.0,32.5,4.7,82.0,85.0,56.971392,0.612,11.5
1145,Developing,73.2,159.0,45.1,0.6,93.0,93.0,1751.595857,0.597,11.1
2051,Developed,74.7,142.0,54.5,0.1,99.0,98.0,5693.52416,0.796,15.3
1845,Developed,81.6,66.0,67.5,0.1,92.0,92.0,3821.8937,0.913,19.2
2147,Developing,64.6,322.0,54.7,0.4,96.0,97.0,2975.132778,0.733,13.2
944,Developing,79.0,13.0,55.2,0.1,97.0,98.0,22527.31775,0.849,15.6
887,Developing,61.8,261.0,15.6,1.7,61.0,69.0,341.39992,0.401,8.1
675,Developed,81.0,54.0,59.2,0.1,99.0,99.0,2797.96736,0.85,13.8
2,Developing,59.9,268.0,18.1,0.1,64.0,62.0,631.744976,0.47,9.9
2529,Developed,81.7,63.0,54.1,0.1,94.0,94.0,63223.46778,0.911,15.3
2605,Developing,67.2,161.0,15.8,0.1,67.0,66.0,114.56179,0.607,12.5
2231,Developing,62.8,225.0,21.1,1.5,92.0,9.0,51.216381,0.497,9.4
685,Developed,78.5,66.0,54.3,0.1,98.0,98.0,2293.4789,0.815,13.0
499,Developing,81.6,68.0,65.3,0.1,95.0,99.0,52496.69487,0.907,15.9
239,Developing,68.0,247.0,54.4,0.1,99.0,99.0,1276.28834,0.675,13.1
2641,Developing,72.5,146.0,7.8,0.1,87.0,88.0,2932.315883,0.698,14.5
2626,Developing,55.7,345.0,19.3,5.0,84.0,85.0,377.33629,0.436,10.2
2032,Developing,67.3,219.0,2.6,0.1,88.0,88.0,1391.772325,0.646,11.5
2634,Developing,73.3,135.0,74.8,0.1,8.0,82.0,4192.349758,0.716,14.3
2561,Developing,66.1,181.0,34.7,0.3,86.0,85.0,52.35956,0.586,10.9
1932,Developing,75.4,18.0,51.5,0.1,98.0,96.0,16784.34616,0.782,12.4
2827,Developing,69.2,184.0,43.9,0.1,99.0,99.0,25.448414,0.69,12.1
663,Developing,78.1,11.0,56.9,0.1,96.0,99.0,5484.7763,0.782,17.7
645,Developed,77.0,14.0,61.3,0.1,96.0,96.0,14539.18421,0.808,14.5
15,Developing,54.8,321.0,12.2,0.1,24.0,24.0,114.56,0.338,5.5
1645,Developed,78.7,69.0,64.5,0.1,89.0,89.0,1519.5497,0.797,14.2
786,Developing,76.2,118.0,54.2,0.1,78.0,84.0,625.62224,0.739,14.0
1125,Developing,62.3,259.0,46.5,0.8,67.0,67.0,766.8437623,0.477,8.9
2836,Developing,67.3,192.0,37.5,0.3,99.0,99.0,546.776852,0.62,11.7
1313,Developing,72.6,171.0,41.6,2.2,93.0,95.0,336.8742,0.682,11.4
535,Developing,49.6,394.0,16.4,4.7,19.0,3.0,929.772391,0.338,6.0
1170,Developed,82.7,49.0,61.0,0.1,92.0,92.0,5734.4436,0.919,19.0
512,Developing,52.5,397.0,22.7,4.4,47.0,47.0,348.381417,0.347,7.1
450,Developing,72.8,12.0,29.7,0.2,93.0,93.0,3558.796314,0.643,13.6
2835,Developing,67.6,185.0,38.1,0.4,96.0,94.0,654.2838373,0.626,11.8
2243,Developing,73.1,11.0,6.2,0.1,96.0,96.0,13739.82945,0.761,12.4
822,Developing,72.0,197.0,53.4,0.3,89.0,9.0,3736.58713,0.666,13.0
1032,Developing,80.0,78.0,63.1,0.1,99.0,99.0,2971.973,0.857,16.2
1760,Developing,69.9,146.0,47.3,0.1,91.0,91.0,1721.973863,0.551,9.3
2821,Developing,75.4,122.0,57.7,0.1,94.0,95.0,4117.38853,0.75,15.5
879,Developing,71.2,211.0,54.6,0.1,94.0,94.0,538.347781,0.791,15.4
1956,Developing,63.0,189.0,16.9,0.1,65.0,68.0,51.6568157,0.45,5.4
905,Developing,68.7,26.0,57.3,0.1,99.0,99.0,4177.657789,0.7,14.3
2010,Developing,74.9,129.0,53.6,0.1,95.0,94.0,6387.785281,0.725,13.4
2625,Developing,55.9,344.0,19.8,5.1,82.0,72.0,42.764743,0.443,10.6
1492,Developing,61.1,258.0,26.1,1.1,76.0,75.0,454.1222236,0.419,9.8
522,Developing,45.9,511.0,18.2,11.2,54.0,47.0,327.1149461,0.319,5.9
1364,Developing,62.6,258.0,2.7,3.0,87.0,94.0,1229.114798,0.541,11.1
1579,Developing,47.1,587.0,16.2,21.1,99.0,99.0,297.6971211,0.377,9.6
56,Developing,48.2,375.0,18.8,2.6,73.0,75.0,2878.837144,0.454,7.7
890,Developing,58.5,39.0,14.5,2.8,5.0,61.0,243.326822,0.362,7.1
1174,Developed,82.1,51.0,59.3,0.1,95.0,95.0,46.217,0.894,18.6
1606,Developing,77.3,67.0,23.1,0.1,96.0,96.0,6497.55443,0.663,11.8
232,Developing,69.8,226.0,57.7,0.1,95.0,9.0,4735.484827,0.739,14.9
1567,Developing,59.3,271.0,14.7,0.7,62.0,61.0,262.2859481,0.462,8.3
521,Developing,46.3,56.0,18.6,10.0,51.0,47.0,347.673678,0.323,6.0
2279,Developing,73.1,135.0,51.7,0.1,93.0,93.0,1634.87561,0.709,13.1
1034,Developing,79.4,8.0,61.8,0.1,99.0,99.0,28827.32636,0.855,16.4
2633,Developing,73.5,133.0,75.2,0.1,78.0,8.0,493.775387,0.718,14.3
923,Developing,79.2,96.0,58.6,0.1,97.0,97.0,4112.67651,0.869,17.2
671,Developing,76.7,115.0,5.4,0.1,98.0,99.0,2832.188893,0.686,12.3
453,Developing,72.5,123.0,27.5,0.4,99.0,99.0,3312.825985,0.627,12.7
542,Developing,48.0,4.0,14.1,4.8,26.0,26.0,197.3156442,0.3,4.9
1126,Developing,62.3,259.0,45.3,1.5,68.0,67.0,74.9358452,0.47,8.7
989,Developing,72.3,134.0,48.1,0.1,78.0,66.0,127.367228,0.694,12.0
2007,Developing,75.5,123.0,55.6,0.1,9.0,88.0,63.343259,0.737,13.4
797,Developing,74.4,148.0,46.5,0.3,88.0,9.0,278.557892,0.682,12.7
1639,Developed,83.0,62.0,67.6,0.1,76.0,76.0,2187.79469,0.819,14.6
1676,Developing,71.8,165.0,28.6,0.1,97.0,98.0,5695.969327,0.713,13.4
2828,Developing,69.1,185.0,43.0,0.1,99.0,99.0,197.551233,0.681,12.0
854,Developing,62.9,286.0,16.5,0.7,96.0,96.0,582.775532,0.405,5.0
226,Developing,71.7,23.0,61.1,0.1,98.0,98.0,7978.825443,0.796,15.7
101,Developing,73.5,132.0,51.2,0.1,94.0,96.0,3218.381655,0.72,12.3
198,Developing,69.5,144.0,14.6,0.1,97.0,97.0,681.125368,0.523,8.4
909,Developing,68.1,218.0,54.2,0.1,95.0,96.0,3332.918533,0.691,13.4
1658,Developing,61.4,217.0,26.1,1.3,74.0,73.0,1167.535689,0.475,7.2
1970,Developing,75.8,123.0,49.5,0.2,95.0,92.0,4591.892776,0.733,12.8
2485,Developing,68.0,223.0,49.7,1.0,75.0,74.0,263.1399,0.0,10.9
1163,Developed,73.4,177.0,59.3,0.1,99.0,99.0,11398.76584,0.802,15.2
1902,Developing,49.8,396.0,19.9,5.3,4.0,46.0,119.743286,0.466,9.0
1067,Developing,69.7,24.0,44.5,0.4,89.0,9.0,2256.56724,0.57,9.8
1191,Developing,66.4,196.0,15.9,0.2,79.0,76.0,1345.77153,0.569,10.4
389,Developed,73.4,147.0,62.7,0.1,94.0,94.0,6843.263289,0.77,13.9
403,Developing,58.6,271.0,17.7,0.8,9.0,9.0,673.8227,0.384,7.2
1388,Developing,64.9,213.0,72.1,0.1,79.0,74.0,1214.556667,0.0,12.2
1392,Developing,64.3,219.0,68.8,0.1,85.0,88.0,734.9492461,0.0,10.4
2247,Developing,72.8,17.0,56.9,0.1,97.0,97.0,8643.4944,0.742,12.0
2224,Developing,65.4,215.0,25.4,0.9,99.0,99.0,1126.46212,0.531,10.4
44,Developing,71.7,146.0,47.0,0.1,87.0,87.0,294.33556,0.663,11.5
2439,Developed,79.4,84.0,58.2,0.1,96.0,95.0,15323.6114,0.825,15.7
2071,Developing,78.2,68.0,69.3,0.1,99.0,99.0,66346.52267,0.855,13.4
2629,Developing,54.7,355.0,17.9,5.2,72.0,72.0,31.437144,0.428,9.9
493,Developing,51.6,47.0,21.8,7.8,66.0,66.0,676.397661,0.452,8.4
364,Developing,71.8,172.0,46.1,0.1,99.0,99.0,359.587582,0.699,14.8
419,Developing,58.0,312.0,17.1,1.2,96.0,96.0,265.285651,0.393,10.3
2217,Developing,67.5,19.0,3.9,0.2,96.0,96.0,1624.63963,0.565,11.2
936,Developing,81.1,88.0,59.6,0.1,98.0,98.0,41631.13141,0.879,16.0
365,Developing,71.4,176.0,45.3,0.1,99.0,99.0,2819.649531,0.692,14.6
40,Developing,73.8,129.0,5.8,0.1,95.0,95.0,3935.183343,0.69,12.3
1291,Developed,81.2,65.0,58.8,0.1,96.0,97.0,3341.7482,0.856,16.0
2012,Developing,73.7,14.0,52.2,0.2,93.0,92.0,522.493191,0.708,13.3
1908,Developing,47.1,45.0,16.9,4.9,29.0,31.0,379.1193264,0.0,7.6
2628,Developing,54.9,355.0,18.4,5.1,71.0,71.0,349.9937253,0.432,10.0
551,Developing,79.6,88.0,59.3,0.1,95.0,95.0,1781.3668,0.804,15.2
1019,Developing,59.4,288.0,23.0,2.9,84.0,84.0,922.9351677,0.51,8.7
2693,Developing,71.6,135.0,55.9,0.1,68.0,69.0,4718.51291,0.668,11.9
1369,Developing,57.9,339.0,17.9,6.4,88.0,88.0,916.8992515,0.506,10.4
358,Developing,73.6,157.0,51.1,0.1,99.0,99.0,8553.3847,0.714,13.8
2242,Developing,73.2,1.0,6.9,0.1,96.0,96.0,15334.66994,0.767,12.5
2403,Developing,53.8,498.0,43.6,29.5,79.0,75.0,5414.634326,0.609,12.9
2266,Developing,75.4,123.0,59.4,0.1,93.0,93.0,62.173221,0.771,14.3
845,Developing,54.1,336.0,19.8,4.4,38.0,48.0,685.34897,0.553,8.5
1726,Developing,64.5,274.0,42.1,0.1,99.0,99.0,998.8226671,0.637,11.8
2052,Developed,74.5,145.0,54.0,0.1,99.0,98.0,5196.932921,0.79,15.0
2617,Developing,59.9,287.0,24.3,1.0,88.0,88.0,551.138346,0.484,12.0
598,Developing,61.3,251.0,21.1,0.1,83.0,84.0,778.5454199,0.465,10.3
1130,Developing,61.8,266.0,4.7,2.7,63.0,62.0,615.8198192,0.458,8.4
1684,Developing,76.6,122.0,62.8,0.1,87.0,87.0,1452.27766,0.754,13.1
785,Developing,72.0,176.0,43.1,2.5,78.0,71.0,282.4242,0.651,12.2
2040,Developed,77.3,12.0,61.1,0.1,98.0,94.0,14341.675,0.85,16.4
2034,Developing,67.3,218.0,19.6,0.1,88.0,85.0,179.3715,0.636,11.6
29,Developing,73.3,15.0,46.9,0.1,98.0,98.0,1453.642777,0.67,10.7
1335,Developing,73.4,117.0,61.7,0.1,98.0,98.0,3679.19275,0.739,13.2
1575,Developing,52.9,462.0,17.6,13.7,93.0,86.0,458.8681744,0.43,10.2
1862,Developing,74.5,148.0,53.2,0.1,98.0,99.0,1975.46477,0.636,11.6
743,Developed,78.9,86.0,56.6,0.1,89.0,89.0,58163.29359,0.906,16.8
1753,Developing,72.8,11.0,53.6,0.1,99.0,99.0,2834.2472,0.603,10.7
1808,Developing,55.0,471.0,26.5,24.7,79.0,82.0,2482.36862,0.554,11.7
1652,Developing,63.0,26.0,3.1,0.9,84.0,84.0,1326.66882,0.509,8.5
1982,Developing,61.4,29.0,43.4,1.3,63.0,76.0,1178.72469,0.469,8.9
2351,Developed,79.1,9.0,56.4,0.1,96.0,96.0,24633.79785,0.873,16.9
2584,Developing,71.1,194.0,18.7,0.8,97.0,97.0,27.564826,0.64,10.9
858,Developing,62.0,329.0,14.7,1.3,91.0,91.0,317.3294336,0.405,5.3
12,Developing,56.7,295.0,13.4,0.1,41.0,41.0,198.7285436,0.373,6.5
270,Developing,68.2,21.0,41.4,0.4,96.0,96.0,3419.275719,0.677,11.8
2074,Developing,77.8,72.0,67.0,0.1,92.0,93.0,88564.82298,0.837,13.4
2255,Developing,63.5,219.0,21.2,0.5,86.0,83.0,12.566464,0.444,7.5
2254,Developing,64.3,212.0,21.7,0.4,89.0,76.0,11.631377,0.449,7.7
547,Developing,79.9,84.0,61.8,0.1,9.0,9.0,15431.9293,0.826,15.5
1931,Developing,75.6,16.0,51.8,0.1,99.0,99.0,1928.74739,0.797,13.5
2572,Developing,74.3,154.0,3.1,0.1,99.0,99.0,5859.915622,0.729,13.7
2484,Developing,68.3,214.0,5.4,0.9,85.0,84.0,36.48773,0.0,11.1
649,Developed,75.8,114.0,58.7,0.1,96.0,96.0,13546.69872,0.793,14.3
2055,Developed,81.1,76.0,61.6,0.1,98.0,98.0,1922.681,0.841,16.6
2687,Developing,73.9,118.0,61.1,0.1,96.0,96.0,936.499911,0.709,12.5
2721,Developing,56.3,41.0,15.6,8.2,71.0,69.0,449.6928183,0.453,10.6
1997,Developing,73.0,155.0,45.6,0.1,85.0,81.0,2599.596259,0.663,12.1
1301,Developing,75.3,138.0,52.0,0.5,96.0,96.0,521.33363,0.725,12.8
888,Developing,68.0,274.0,15.3,2.0,58.0,65.0,379.7566385,0.393,8.1
1080,Developing,57.3,297.0,2.3,2.3,57.0,6.0,436.6895539,0.376,8.1
1953,Developing,63.7,183.0,18.4,0.1,65.0,65.0,649.848233,0.474,5.6
2035,Developing,67.2,217.0,19.2,0.1,84.0,85.0,11.553196,0.631,11.6
843,Developing,54.8,337.0,2.5,5.3,4.0,52.0,12732.2759,0.569,9.0
627,Developing,79.4,96.0,58.5,0.1,95.0,95.0,1569.66631,0.762,13.7
1941,Developing,72.6,138.0,45.9,0.1,99.0,99.0,861.18596,0.0,10.4
995,Developed,89.0,69.0,61.9,0.1,95.0,94.0,4792.65288,0.92,17.0
59,Developing,47.1,386.0,17.2,2.5,4.0,4.0,141.86844,0.415,6.4
2355,Developed,77.5,14.0,54.1,0.1,95.0,95.0,18169.1891,0.853,16.3
123,Developed,86.0,69.0,6.9,0.1,92.0,92.0,3472.37977,0.908,20.7
2581,Developing,71.7,189.0,2.9,0.6,98.0,98.0,2358.93629,0.666,11.8
871,Developing,75.6,137.0,57.6,0.1,94.0,94.0,14638.6482,0.833,16.2
2042,Developed,76.8,125.0,59.7,0.1,99.0,95.0,13145.1484,0.834,15.3
2311,Developing,41.0,519.0,17.5,1.5,38.0,38.0,227.779471,0.302,7.0
1964,Developing,76.5,122.0,54.2,0.1,94.0,95.0,7937.259931,0.756,12.8
674,Developed,83.0,53.0,59.8,0.1,99.0,99.0,2734.88382,0.85,14.0
928,Developing,78.0,1.0,56.1,0.1,98.0,95.0,24913.24452,0.856,17.7
204,Developing,66.8,161.0,11.6,0.1,87.0,9.0,432.7388972,0.484,7.9
2077,Developing,77.0,79.0,65.6,0.1,99.0,98.0,61478.23813,0.828,11.8
143,Developed,78.1,96.0,5.1,0.1,81.0,71.0,24517.26745,0.833,15.4
72,Developing,75.0,144.0,42.6,0.1,99.0,98.0,14252.29452,0.781,14.5
1272,Developing,81.5,63.0,62.6,0.1,96.0,96.0,27795.87671,0.876,15.6
1804,Developing,60.0,356.0,29.4,15.2,86.0,81.0,422.51968,0.578,11.3
2819,Developing,76.2,117.0,58.9,0.1,95.0,95.0,5877.87678,0.756,15.2
1129,Developing,62.1,259.0,41.8,2.4,63.0,64.0,674.7564147,0.462,8.4
1386,Developing,65.0,211.0,73.4,0.1,94.0,93.0,1357.632211,0.574,11.8
636,Developing,77.7,12.0,49.3,0.1,9.0,9.0,4425.57467,0.719,12.2
92,Developing,74.1,137.0,55.7,0.1,96.0,95.0,333.4376,0.77,16.4
466,Developing,67.8,183.0,18.2,0.2,83.0,66.0,128.419568,0.546,10.8
1455,Developed,73.0,219.0,56.0,0.1,97.0,98.0,4132.34927,0.746,14.8
2218,Developing,67.3,191.0,3.1,0.2,95.0,95.0,1821.878734,0.562,11.1
2533,Developed,85.0,72.0,52.3,0.1,93.0,95.0,4796.56497,0.889,15.0
1778,Developing,49.5,48.0,16.9,13.4,73.0,72.0,256.4414872,0.298,5.8
2813,Developing,76.5,118.0,62.3,0.1,95.0,95.0,1592.6819,0.784,15.5
1887,Developing,53.7,278.0,15.4,1.6,45.0,46.0,25.383731,0.278,3.5
2841,Developing,67.1,189.0,34.8,0.1,99.0,99.0,558.221144,0.0,10.6
1954,Developing,63.5,185.0,17.9,0.1,67.0,69.0,563.594342,0.465,5.6
829,Developing,70.0,215.0,48.6,0.3,9.0,9.0,2632.79942,0.636,12.4
775,Developing,72.7,166.0,53.6,0.9,88.0,85.0,5451.6696,0.697,12.9
2456,Developing,71.5,175.0,14.1,0.1,99.0,99.0,875.412178,0.677,12.4
87,Developing,75.4,126.0,58.6,0.1,93.0,94.0,8953.359275,0.792,16.3
363,Developing,72.0,17.0,46.9,0.1,99.0,99.0,3623.47667,0.695,14.0
1143,Developing,73.6,156.0,46.8,0.4,97.0,97.0,1932.85829,0.606,11.5
1306,Developing,74.2,148.0,48.1,0.9,92.0,94.0,462.517913,0.714,12.5
2736,Developing,69.2,231.0,58.0,0.3,71.0,74.0,2545.48341,0.734,14.9
267,Developing,68.7,197.0,43.2,0.8,97.0,97.0,3831.53819,0.691,12.5
149,Developing,71.1,13.0,48.0,0.1,81.0,85.0,5842.85784,0.737,11.7
1817,Developing,68.4,172.0,16.9,0.2,92.0,92.0,692.1166842,0.529,12.0
1288,Developed,81.6,61.0,6.5,0.1,96.0,96.0,36976.84512,0.868,16.3
273,Developing,59.7,252.0,25.2,1.1,78.0,74.0,943.686575,0.475,10.7
1253,Developed,85.0,69.0,6.5,0.1,95.0,95.0,49231.36254,0.895,18.5
1577,Developing,50.0,525.0,16.9,16.9,91.0,92.0,372.842678,0.4,9.6
988,Developing,73.9,128.0,48.6,0.1,82.0,82.0,153.57521,0.703,12.2
1717,Developing,68.4,225.0,51.5,0.1,99.0,99.0,4181.583321,0.729,14.8
584,Developing,73.5,144.0,52.0,0.1,93.0,93.0,4674.21961,0.675,11.9
1136,Developing,58.9,35.0,34.8,5.0,45.0,52.0,413.7383164,0.443,7.9
2856,Developing,69.1,179.0,41.9,0.1,7.0,67.0,1362.61731,0.0,10.1
1589,Developing,74.5,129.0,37.4,0.1,97.0,97.0,1779.49641,0.776,12.9
179,Developing,76.5,71.0,61.5,0.1,99.0,99.0,23649.36661,0.812,14.5
1124,Developing,62.7,253.0,47.7,0.5,68.0,67.0,81.265673,0.483,9.1
594,Developing,62.9,233.0,23.2,0.8,87.0,85.0,834.341949,0.49,10.9
2735,Developing,69.8,212.0,58.5,0.2,52.0,57.0,2965.142365,0.728,14.9
1550,Developed,78.6,92.0,55.8,0.1,98.0,99.0,65445.8853,0.865,13.6
475,Developing,61.5,253.0,13.5,1.7,85.0,86.0,48.615184,0.458,9.7
2833,Developing,67.9,184.0,39.3,0.3,98.0,98.0,182.28625,0.644,11.9
1906,Developing,47.7,49.0,17.8,5.3,25.0,4.0,459.4572117,0.0,7.7
2435,Developed,81.0,77.0,6.5,0.1,96.0,96.0,2651.71745,0.837,15.8
1185,Developed,79.7,74.0,54.2,0.1,98.0,98.0,31813.37344,0.847,16.8
1980,Developing,61.8,286.0,44.9,1.1,67.0,72.0,1366.879112,0.485,9.6
1981,Developing,61.6,288.0,44.2,1.1,73.0,79.0,1166.66337,0.477,9.2
2817,Developing,76.4,119.0,6.1,0.1,94.0,94.0,962.312164,0.77,15.7
68,Developing,75.7,136.0,45.1,0.1,99.0,99.0,11929.34991,0.782,14.1
1853,Developed,81.0,76.0,63.2,0.1,88.0,88.0,3259.73471,0.891,19.2
589,Developing,71.8,163.0,48.2,0.1,81.0,83.0,2355.725857,0.656,11.5
1061,Developing,71.3,189.0,48.6,0.4,96.0,94.0,3299.65139,0.616,10.6
770,Developing,73.9,152.0,58.9,0.3,85.0,87.0,6468.471648,0.718,13.2
2139,Developing,69.4,242.0,58.1,0.3,97.0,97.0,14212.687,0.785,14.0
1692,Developing,75.8,125.0,57.2,0.1,98.0,98.0,8767.92258,0.723,12.2
859,Developing,59.7,336.0,14.3,1.4,94.0,94.0,297.828588,0.405,5.3
664,Developing,77.9,12.0,56.2,0.1,95.0,99.0,5376.447622,0.771,17.1
333,Developing,75.4,11.0,48.8,0.1,8.0,86.0,1761.537647,0.0,11.9
1614,Developing,72.7,112.0,16.7,0.1,98.0,98.0,3432.247841,0.601,11.8
541,Developing,48.1,43.0,14.4,5.0,25.0,31.0,22.854821,0.303,5.1
1774,Developing,58.0,434.0,18.5,16.2,8.0,71.0,369.1545359,0.341,7.3
1010,Developing,62.4,249.0,28.6,0.7,88.0,88.0,1361.11395,0.575,11.4
230,Developing,70.0,226.0,58.7,0.1,96.0,98.0,5176.172649,0.771,15.4
2400,Developing,55.3,473.0,45.7,23.5,79.0,77.0,5786.59972,0.616,12.9
129,Developed,81.4,66.0,57.1,0.1,98.0,98.0,51322.63997,0.892,15.9
2490,Developing,58.4,382.0,31.8,7.3,98.0,98.0,3464.35169,0.541,11.4
1643,Developed,79.3,66.0,65.6,0.1,85.0,83.0,16671.5672,0.809,14.8
2030,Developing,67.5,217.0,21.6,0.1,91.0,91.0,1919.466195,0.655,11.5
1910,Developed,81.8,59.0,61.2,0.1,95.0,95.0,7455.24654,0.948,17.7
2502,Developing,46.4,587.0,26.7,49.9,85.0,87.0,1324.996228,0.502,9.2
277,Developing,58.7,254.0,23.0,1.4,76.0,77.0,757.695974,0.451,9.5
1662,Developing,64.0,224.0,23.6,1.3,7.0,68.0,62.547286,0.451,6.7
1882,Developing,58.2,252.0,17.3,0.9,7.0,75.0,348.151511,0.312,4.5
1918,Developed,85.0,67.0,57.5,0.1,93.0,93.0,85128.65759,0.934,17.6
1924,Developed,78.8,82.0,54.0,0.1,91.0,91.0,38549.58934,0.917,17.5
742,Developed,79.2,84.0,57.0,0.1,9.0,9.0,5841.41122,0.906,16.8
2560,Developing,66.4,178.0,35.3,0.3,86.0,87.0,76.914128,0.592,10.8
2505,Developed,82.4,53.0,59.5,0.1,98.0,98.0,5585.25847,0.909,15.9
668,Developing,77.3,17.0,53.0,0.1,88.0,98.0,339.716256,0.705,13.2
357,Developing,73.8,154.0,52.0,0.1,99.0,99.0,11224.1548,0.716,13.8
348,Developing,46.4,693.0,31.6,31.9,96.0,96.0,4163.6596,0.567,11.8
1973,Developing,75.5,124.0,46.9,0.1,99.0,95.0,446.372833,0.721,12.4
424,Developing,54.8,355.0,14.8,3.4,99.0,93.0,17.79995,0.309,7.2
476,Developing,63.0,268.0,13.1,1.9,69.0,69.0,362.4213785,0.445,9.3
1917,Developed,86.0,67.0,58.0,0.1,94.0,94.0,9688.5961,0.936,17.6
2269,Developing,74.6,127.0,57.7,0.1,94.0,94.0,6423.291783,0.757,13.5
2510,Developed,81.5,58.0,57.3,0.1,98.0,98.0,5276.25591,0.895,15.8
130,Developed,81.1,68.0,56.6,0.1,95.0,95.0,554.71532,0.887,15.7
868,Developing,76.9,127.0,59.0,0.1,94.0,94.0,1929.7746,0.856,16.5
1478,Developing,52.3,52.0,3.2,10.5,96.0,95.0,1352.38433,0.469,11.0
50,Developing,51.1,355.0,22.1,2.3,77.0,67.0,484.616884,0.523,11.4
2038,Developing,66.8,219.0,17.8,0.1,78.0,74.0,138.91977,0.618,11.4
2262,Developing,58.4,252.0,18.3,0.7,6.0,6.0,513.26227,0.397,5.7
2005,Developing,71.2,17.0,39.8,0.1,89.0,9.0,1417.26582,0.624,11.8
2152,Developing,65.7,23.0,2.8,0.4,98.0,98.0,76.5699517,0.488,10.8
4,Developing,59.2,275.0,17.2,0.1,68.0,68.0,63.537231,0.454,9.5
1896,Developing,52.7,374.0,23.5,4.4,42.0,42.0,2755.297787,0.507,9.7
1196,Developing,64.4,211.0,13.5,0.3,65.0,65.0,77.819,0.526,9.4
678,Developed,79.5,59.0,57.8,0.1,99.0,99.0,3818.46396,0.853,14.6
554,Developing,78.4,93.0,57.4,0.1,91.0,92.0,7615.3468,0.79,14.6
918,Developing,83.0,86.0,6.6,0.1,99.0,99.0,579.72415,0.878,16.9
1006,Developed,78.5,9.0,56.6,0.1,97.0,96.0,3359.95215,0.872,16.3
225,Developing,72.0,199.0,61.7,0.1,97.0,97.0,8318.429294,0.796,15.7
362,Developing,72.7,163.0,47.8,0.1,99.0,99.0,477.182746,0.694,13.8
1963,Developing,77.3,121.0,54.9,0.1,87.0,91.0,927.723171,0.758,12.9
85,Developing,75.5,121.0,59.8,0.1,94.0,95.0,1276.265,0.802,16.8
1244,Developing,66.8,29.0,52.5,0.1,65.0,69.0,1849.63911,0.628,10.1
2320,Developed,81.4,64.0,31.2,0.1,97.0,97.0,39721.4818,0.88,14.2
1356,Developing,64.6,294.0,46.3,0.1,98.0,99.0,3771.278957,0.737,13.9
939,Developing,86.0,92.0,58.0,0.1,99.0,99.0,36544.5853,0.87,16.1
2244,Developing,73.1,12.0,59.4,0.1,96.0,96.0,11138.8746,0.754,12.3
2079,Developing,76.7,83.0,65.1,0.1,94.0,97.0,675.61258,0.83,12.6
1890,Developing,51.4,282.0,14.3,1.6,39.0,43.0,177.828384,0.261,2.9
243,Developed,83.0,78.0,62.6,0.1,99.0,99.0,4474.5717,0.886,16.2
2474,Developing,71.4,178.0,57.7,0.4,85.0,85.0,9564.46383,0.722,12.7
2290,Developing,72.2,185.0,3.7,0.1,99.0,99.0,1214.39987,0.728,13.1
2132,Developed,77.0,178.0,52.4,0.1,98.0,98.0,2124.873613,0.714,12.0
401,Developing,59.3,268.0,18.8,0.6,91.0,91.0,75.1464113,0.398,7.7
391,Developed,72.9,155.0,61.5,0.1,95.0,96.0,7296.122479,0.761,13.8
1443,Developed,74.4,156.0,6.7,0.1,92.0,92.0,15725.1374,0.822,16.0
49,Developing,51.7,348.0,22.7,2.0,64.0,68.0,479.31224,0.527,11.4
943,Developing,79.2,11.0,55.8,0.1,97.0,97.0,24275.2426,0.851,15.5
256,Developing,71.0,175.0,5.9,0.2,94.0,94.0,4849.997495,0.706,12.8
1021,Developing,58.3,34.0,21.8,3.2,8.0,81.0,423.1936389,0.491,7.7
383,Developing,74.4,16.0,26.1,0.1,99.0,99.0,188.44826,0.818,13.4
2734,Developing,75.0,24.0,59.0,0.2,5.0,54.0,3569.75727,0.734,14.9
1450,Developed,78.0,221.0,57.7,0.1,94.0,94.0,1444.1589,0.814,16.2
1919,Developed,84.0,7.0,57.0,0.1,94.0,94.0,74114.69715,0.931,17.5
566,Developing,74.9,93.0,27.3,0.1,99.0,99.0,3838.434292,0.682,12.2
135,Developed,84.0,76.0,54.2,0.1,83.0,83.0,51386.37665,0.864,15.1
628,Developing,79.2,97.0,57.5,0.1,91.0,9.0,9985.36959,0.758,13.6
2920,Developing,44.6,611.0,17.1,18.6,85.0,86.0,378.2736238,0.424,9.8
902,Developing,69.2,197.0,59.5,0.1,99.0,99.0,4353.121392,0.709,14.7
479,Developing,57.7,274.0,12.1,2.1,59.0,62.0,3.685949,0.401,7.2
1477,Developing,52.2,513.0,3.8,9.0,95.0,93.0,1281.516,0.479,11.0
2082,Developing,76.6,84.0,65.0,0.1,96.0,95.0,41818.35256,0.826,13.5
